ID                 CATEGORY              CPU_CORES  MEMORY
c7gd.4xlarge       accelerated_computing 16         32
c7gd.8xlarge       accelerated_computing 32         64
c7gd.large         accelerated_computing 2          4
c7gd.medium        accelerated_computing 1          2
c7gd.metal         accelerated_computing 64         128
c7gd.xlarge        accelerated_computing 4          8
c7gn.12xlarge      accelerated_computing 48         96
c7gn.16xlarge      accelerated_computing 64         128
c7gn.2xlarge       accelerated_computing 8          16
c7gn.4xlarge       accelerated_computing 16         32
c7gn.8xlarge       accelerated_computing 32         64
c7gn.large         accelerated_computing 2          4
c7gn.medium        accelerated_computing 1          2
c7gn.metal         accelerated_computing 64         128
c7gn.xlarge        accelerated_computing 4          8
c7i-flex.12xlarge  accelerated_computing 48         96
c7i-flex.16xlarge  accelerated_computing 64         128
c7i-flex.2xlarge   accelerated_computing 8          16
c7i-flex.4xlarge   accelerated_computing 16         32
c7i-flex.8xlarge   accelerated_computing 32         64
c7i-flex.large     accelerated_computing 2          4
c7i-flex.xlarge    accelerated_computing 4          8
c7i.12xlarge       accelerated_computing 48         96
c7i.16xlarge       accelerated_computing 64         128
c7i.24xlarge       accelerated_computing 96         192
c7i.2xlarge        accelerated_computing 8          16
c7i.48xlarge       accelerated_computing 192        384
c7i.4xlarge        accelerated_computing 16         32
c7i.8xlarge        accelerated_computing 32         64
c7i.large          accelerated_computing 2          4
c7i.metal-24xl     compute_optimized     96         192
c7i.metal-48xl     compute_optimized     192        384
c7i.xlarge         accelerated_computing 4          8
c8g.12xlarge       accelerated_computing 48         96
c8g.16xlarge       accelerated_computing 64         128
c8g.24xlarge       accelerated_computing 96         192
c8g.2xlarge        accelerated_computing 8          16
c8g.48xlarge       accelerated_computing 192        384
c8g.4xlarge        accelerated_computing 16         32
c8g.8xlarge        accelerated_computing 32         64
c8g.large          accelerated_computing 2          4
c8g.medium         accelerated_computing 1          2
c8g.metal-24xl     accelerated_computing 96         192
c8g.metal-48xl     accelerated_computing 192        384
c8g.xlarge         accelerated_computing 4          8
d2.2xlarge         accelerated_computing 8          61
d2.4xlarge         accelerated_computing 16         122
d2.8xlarge         accelerated_computing 36         244
d2.xlarge          accelerated_computing 4          30.5
d3.2xlarge         accelerated_computing 8          64
d3.4xlarge         accelerated_computing 16         128
d3.8xlarge         accelerated_computing 32         256
d3.xlarge          accelerated_computing 4          32
d3en.12xlarge      accelerated_computing 48         192
d3en.2xlarge       accelerated_computing 8          32
d3en.4xlarge       accelerated_computing 16         64
d3en.6xlarge       accelerated_computing 24         96
d3en.8xlarge       accelerated_computing 32         128
d3en.xlarge        accelerated_computing 4          16
dl1.24xlarge       accelerated_computing 96         768
dl2q.24xlarge      accelerated_computing 96         768
f1.16xlarge        accelerated_computing 64         976
f1.2xlarge         accelerated_computing 8          122
f1.4xlarge         accelerated_computing 16         244
f2.12xlarge        accelerated_computing 48         512
f2.48xlarge        accelerated_computing 192        2048
f2.6xlarge         accelerated_computing 24         256
g4ad.16xlarge      accelerated_computing 64         256
g4ad.2xlarge       accelerated_computing 8          32
g4ad.4xlarge       accelerated_computing 16         64
g4ad.8xlarge       accelerated_computing 32         128
g4ad.xlarge        accelerated_computing 4          16
g4dn.12xlarge      accelerated_computing 48         192
g4dn.16xlarge      accelerated_computing 64         256
g4dn.2xlarge       accelerated_computing 8          32
g4dn.4xlarge       accelerated_computing 16         64
g4dn.8xlarge       accelerated_computing 32         128
g4dn.metal         accelerated_computing 96         384
g4dn.xlarge        accelerated_computing 4          16
g5.12xlarge        accelerated_computing 48         192
g5.16xlarge        accelerated_computing 64         256
g5.24xlarge        accelerated_computing 96         384
g5.2xlarge         accelerated_computing 8          32
g5.48xlarge        accelerated_computing 192        768
g5.4xlarge         accelerated_computing 16         64
g5.8xlarge         accelerated_computing 32         128
g5.xlarge          accelerated_computing 4          16
g5g.16xlarge       accelerated_computing 64         128
g5g.2xlarge        accelerated_computing 8          16
g5g.4xlarge        accelerated_computing 16         32
g5g.8xlarge        accelerated_computing 32         64
g5g.metal          accelerated_computing 64         128
g5g.xlarge         accelerated_computing 4          8
g6.12xlarge        accelerated_computing 48         192
g6.16xlarge        accelerated_computing 64         256
g6.24xlarge        accelerated_computing 96         384
g6.2xlarge         accelerated_computing 8          32
g6.48xlarge        accelerated_computing 192        768
g6.4xlarge         accelerated_computing 16         64
g6.8xlarge         accelerated_computing 32         128
g6.xlarge          accelerated_computing 4          16
g6e.12xlarge       accelerated_computing 48         384
g6e.16xlarge       accelerated_computing 64         512
g6e.24xlarge       accelerated_computing 96         768
g6e.2xlarge        accelerated_computing 8          64
g6e.48xlarge       accelerated_computing 192        1536
g6e.4xlarge        accelerated_computing 16         128
g6e.8xlarge        accelerated_computing 32         256
g6e.xlarge         accelerated_computing 4          32
gr6.4xlarge        accelerated_computing 16         128
gr6.8xlarge        accelerated_computing 32         256
h1.16xlarge        accelerated_computing 64         256
h1.2xlarge         accelerated_computing 8          32
h1.4xlarge         accelerated_computing 16         64
h1.8xlarge         accelerated_computing 32         128
i2.2xlarge         accelerated_computing 8          61
i2.4xlarge         accelerated_computing 16         122
i2.8xlarge         accelerated_computing 32         244
i2.xlarge          accelerated_computing 4          30.5
i3.16xlarge        accelerated_computing 64         488
i3.2xlarge         accelerated_computing 8          61
i3.4xlarge         accelerated_computing 16         122
i3.8xlarge         accelerated_computing 32         244
i3.large           accelerated_computing 2          15.25
i3.metal           storage_optimized     72         512
i3.xlarge          accelerated_computing 4          30.5
i3en.12xlarge      accelerated_computing 48         384
i3en.24xlarge      accelerated_computing 96         768
i3en.2xlarge       accelerated_computing 8          64
i3en.3xlarge       accelerated_computing 12         96
i3en.6xlarge       accelerated_computing 24         192
i3en.large         accelerated_computing 2          16
i3en.metal         storage_optimized     96         768
i3en.xlarge        accelerated_computing 4          32
i4g.16xlarge       accelerated_computing 64         512
i4g.2xlarge        accelerated_computing 8          64
i4g.4xlarge        accelerated_computing 16         128
i4g.8xlarge        accelerated_computing 32         256
i4g.large          accelerated_computing 2          16
i4g.xlarge         accelerated_computing 4          32
i4i.12xlarge       accelerated_computing 48         384
i4i.16xlarge       accelerated_computing 64         512
i4i.24xlarge       accelerated_computing 96         768
i4i.2xlarge        accelerated_computing 8          64
i4i.32xlarge       accelerated_computing 128        1024
i4i.4xlarge        accelerated_computing 16         128
i4i.8xlarge        accelerated_computing 32         256
i4i.large          accelerated_computing 2          16
i4i.metal          storage_optimized     128        1024
i4i.xlarge         accelerated_computing 4          32
i7ie.12xlarge      accelerated_computing 48         384
i7ie.18xlarge      accelerated_computing 72         576
i7ie.24xlarge      accelerated_computing 96         768
i7ie.2xlarge       accelerated_computing 8          64
i7ie.3xlarge       accelerated_computing 12         96
i7ie.48xlarge      accelerated_computing 192        1536
i7ie.6xlarge       accelerated_computing 24         192
i7ie.large         accelerated_computing 2          16
i7ie.xlarge        accelerated_computing 4          32
i8g.12xlarge       accelerated_computing 48         384
i8g.16xlarge       accelerated_computing 64         512
i8g.24xlarge       accelerated_computing 96         768
i8g.2xlarge        accelerated_computing 8          64
i8g.48xlarge       accelerated_computing 192        1536
i8g.4xlarge        accelerated_computing 16         128
i8g.8xlarge        accelerated_computing 32         256
i8g.large          accelerated_computing 2          16
i8g.metal-24xl     accelerated_computing 96         768
i8g.xlarge         accelerated_computing 4          32
im4gn.16xlarge     accelerated_computing 64         256
im4gn.2xlarge      accelerated_computing 8          32
im4gn.4xlarge      accelerated_computing 16         64
im4gn.8xlarge      accelerated_computing 32         128
im4gn.large        accelerated_computing 2          8
im4gn.xlarge       accelerated_computing 4          16
inf1.24xlarge      accelerated_computing 96         192
inf1.2xlarge       accelerated_computing 8          16
inf1.6xlarge       accelerated_computing 24         48
inf1.xlarge        accelerated_computing 4          8
inf2.24xlarge      accelerated_computing 96         384
inf2.48xlarge      accelerated_computing 192        768
inf2.8xlarge       accelerated_computing 32         128
inf2.xlarge        accelerated_computing 4          16
is4gen.2xlarge     accelerated_computing 8          48
is4gen.4xlarge     accelerated_computing 16         96
is4gen.8xlarge     accelerated_computing 32         192
