ID                 CATEGORY               CPU_CORES  MEMORY
c6i.xlarge         compute_optimized      4          8.0 GiB
c7a.12xlarge       compute_optimized      48         96.0 GiB
c7a.16xlarge       compute_optimized      64         128.0 GiB
c7a.24xlarge       compute_optimized      96         192.0 GiB
c7a.2xlarge        compute_optimized      8          16.0 GiB
c7a.32xlarge       compute_optimized      128        256.0 GiB
c7a.48xlarge       compute_optimized      192        384.0 GiB
c7a.4xlarge        compute_optimized      16         32.0 GiB
c7a.8xlarge        compute_optimized      32         64.0 GiB
c7a.metal-48xl     compute_optimized      192        384.0 GiB
c7a.xlarge         compute_optimized      4          8.0 GiB
c7g.12xlarge       compute_optimized      48         96.0 GiB
c7g.16xlarge       compute_optimized      64         128.0 GiB
c7g.2xlarge        compute_optimized      8          16.0 GiB
c7g.4xlarge        compute_optimized      16         32.0 GiB
c7g.8xlarge        compute_optimized      32         64.0 GiB
c7gd.12xlarge      compute_optimized      48         96.0 GiB
c7gd.16xlarge      compute_optimized      64         128.0 GiB
c7gd.2xlarge       compute_optimized      8          16.0 GiB
c7gd.4xlarge       compute_optimized      16         32.0 GiB
c7gd.8xlarge       compute_optimized      32         64.0 GiB
c7gd.metal         compute_optimized      64         128.0 GiB
c7gd.xlarge        compute_optimized      4          8.0 GiB
c7g.metal          compute_optimized      64         128.0 GiB
c7gn.12xlarge      compute_optimized      48         96.0 GiB
c7gn.16xlarge      compute_optimized      64         128.0 GiB
c7gn.2xlarge       compute_optimized      8          16.0 GiB
c7gn.4xlarge       compute_optimized      16         32.0 GiB
c7gn.8xlarge       compute_optimized      32         64.0 GiB
c7gn.metal         compute_optimized      64         128.0 GiB
c7gn.xlarge        compute_optimized      4          8.0 GiB
c7g.xlarge         compute_optimized      4          8.0 GiB
c7i.12xlarge       compute_optimized      48         96.0 GiB
c7i.16xlarge       compute_optimized      64         128.0 GiB
c7i.24xlarge       compute_optimized      96         192.0 GiB
c7i.2xlarge        compute_optimized      8          16.0 GiB
c7i.48xlarge       compute_optimized      192        384.0 GiB
c7i.4xlarge        compute_optimized      16         32.0 GiB
c7i.8xlarge        compute_optimized      32         64.0 GiB
c7i.metal-24xl     compute_optimized      96         192.0 GiB
c7i.metal-48xl     compute_optimized      192        384.0 GiB
c7i.xlarge         compute_optimized      4          8.0 GiB
hpc6id.32xlarge    compute_optimized      64         1.0 TiB
hpc7a.12xlarge     compute_optimized      24         768.0 GiB
hpc7a.24xlarge     compute_optimized      48         768.0 GiB
hpc7a.48xlarge     compute_optimized      96         768.0 GiB
hpc7a.96xlarge     compute_optimized      192        768.0 GiB
hpc7g.16xlarge     compute_optimized      64         128.0 GiB
hpc7g.4xlarge      compute_optimized      16         128.0 GiB
hpc7g.8xlarge      compute_optimized      32         128.0 GiB
m5zn.12xlarge      compute_optimized      48         192.0 GiB
m5zn.2xlarge       compute_optimized      8          32.0 GiB
m5zn.3xlarge       compute_optimized      16         48.0 GiB
m5zn.6xlarge       compute_optimized      32         96.0 GiB
m5zn.xlarge        compute_optimized      4          16.0 GiB
a1.2xlarge         general_purpose        8          16.0 GiB
a1.4xlarge         general_purpose        16         32.0 GiB
a1.metal           general_purpose        16         32.0 GiB
a1.xlarge          general_purpose        4          8.0 GiB
m5.12xlarge        general_purpose        48         192.0 GiB
m5.16xlarge        general_purpose        64         256.0 GiB
m5.24xlarge        general_purpose        96         384.0 GiB
m5.2xlarge         general_purpose        8          32.0 GiB
m5.4xlarge         general_purpose        16         64.0 GiB
m5.8xlarge         general_purpose        32         128.0 GiB
m5a.12xlarge       general_purpose        48         192.0 GiB
m5a.16xlarge       general_purpose        64         256.0 GiB
m5a.24xlarge       general_purpose        96         384.0 GiB
m5a.2xlarge        general_purpose        8          32.0 GiB
